,Name,NetWorth,Country,Source,Rank,Age,Industry
27,Julia Koch & family,$46.4 B,United States,Koch Industries,27,58.0,Diversified
28,Masayoshi Son,$45.4 B,Japan,"internet, telecom",29,63.0,Telecom
29,Michael Dell,$45.1 B,United States,Dell computers,30,56.0,Technology
30,Tadashi Yanai & family,$44.1 B,Japan,fashion retail,31,72.0,Fashion & Retail
31,François Pinault & family,$42.3 B,France,luxury goods,32,84.0,Fashion & Retail
32,David Thomson & family,$41.8 B,Canada,media,33,63.0,Media & Entertainment
33,Beate Heister & Karl Albrecht Jr.,$39.2 B,Germany,supermarkets,34,69.0,Fashion & Retail
34,Wang Wei,$39 B,China,package delivery,35,50.0,Service
35,Miriam Adelson,$38.2 B,United States,casinos,36,75.0,Gambling & Casinos
36,He Xiangjian,$37.7 B,China,home appliances,37,78.0,Manufacturing
37,Dieter Schwarz,$36.9 B,Germany,retail,38,81.0,Fashion & Retail
38,Zhang Yiming,$35.6 B,China,TikTok,39,37.0,Technology
39,Giovanni Ferrero,$35.1 B,Italy,"Nutella, chocolates",40,56.0,Food & Beverage
40,Alain Wertheimer,$34.5 B,France,Chanel,41,72.0,Fashion & Retail
41,Gerard Wertheimer,$34.5 B,France,Chanel,41,70.0,Fashion & Retail
42,Li Ka-shing,$33.7 B,Hong Kong,diversified,43,92.0,Diversified
43,Qin Yinglin & family,$33.5 B,China,pig breeding,44,55.0,Food & Beverage
44,William Lei Ding,$33 B,China,online games,45,49.0,Technology
45,Len Blavatnik,$32 B,United States,"music, chemicals",46,63.0,Diversified
46,Lee Shau Kee,$31.7 B,Hong Kong,real estate,47,93.0,Real Estate
47,Jacqueline Mars,$31.3 B,United States,"candy, pet food",48,81.0,Food & Beverage
48,John Mars,$31.3 B,United States,"candy, pet food",48,85.0,Food & Beverage
49,Yang Huiyan & family,$29.6 B,China,real estate,50,39.0,Real Estate
50,Alexey Mordashov & family,$29.1 B,Russia,"steel, investments",51,55.0,Metals & Mining
51,Robin Zeng,$28.4 B,Hong Kong,batteries,52,52.0,Energy
52,Hui Ka Yan,$27.7 B,China,real estate,53,62.0,Real Estate
53,Susanne Klatten,$27.7 B,Germany,"BMW, pharmaceuticals",53,58.0,Automotive
54,Vladimir Potanin,$27 B,Russia,metals,55,60.0,Metals & Mining
55,Dietrich Mateschitz,$26.9 B,Austria,Red Bull,56,76.0,Food & Beverage
56,Pang Kang,$26.4 B,China,soy sauce,57,65.0,Food & Beverage
57,Klaus-Michael Kuehne,$26.3 B,Germany,shipping,58,83.0,Logistics
58,Vladimir Lisin,$26.2 B,Russia,"steel, transport",59,64.0,Metals & Mining
59,Wang Xing,$26.1 B,China,e-commerce,60,42.0,Technology
60,German Larrea Mota Velasco & family,$25.9 B,Mexico,mining,61,67.0,Metals & Mining
61,Leonardo Del Vecchio & family,$25.8 B,Italy,eyeglasses,62,85.0,Fashion & Retail
62,Takemitsu Takizaki,$25.8 B,Japan,sensors,62,75.0,Manufacturing
63,Leonard Lauder,$25.5 B,United States,Estee Lauder,64,88.0,Fashion & Retail
64,Thomas Peterffy,$25 B,United States,discount brokerage,65,76.0,Finance & Investments
65,Vagit Alekperov,$24.9 B,Russia,oil,66,70.0,Energy
66,Leonid Mikhelson,$24.9 B,Russia,"gas, chemicals",66,65.0,Energy
67,Jim Simons,$24.6 B,United States,hedge funds,68,82.0,Finance & Investments
68,Jiang Rensheng & family,$24.4 B,China,vaccines,69,67.0,Healthcare
69,Gina Rinehart,$23.6 B,Australia,mining,70,67.0,Metals & Mining
70,Rupert Murdoch & family,$23.5 B,United States,"newspapers, TV network",71,90.0,Media & Entertainment
71,Shiv Nadar,$23.5 B,India,software services,71,75.0,Technology
72,Zhang Zhidong,$23.4 B,China,internet media,73,49.0,Technology
73,Iris Fontbona & family,$23.3 B,Chile,mining,74,78.0,Metals & Mining
74,Lei Jun,$23 B,China,smartphones,75,51.0,Technology
75,Zhang Yong,$23 B,Singapore,restaurants,75,50.0,Food & Beverage
76,Richard Qiangdong Liu,$22.4 B,China,e-commerce,77,47.0,Technology
77,Gennady Timchenko,$22 B,Russia,"oil, gas",78,68.0,Energy
78,Stephen Schwarzman,$21.9 B,United States,investments,79,74.0,Finance & Investments
79,Goh Cheng Liang,$21.7 B,Singapore,paints,80,93.0,Manufacturing
80,Stefan Quandt,$21.6 B,Germany,BMW,81,54.0,Automotive
81,Li Xiting,$21.5 B,Singapore,medical devices,82,70.0,Healthcare
82,Pierre Omidyar,$21.4 B,United States,"eBay, PayPal",83,53.0,Technology
83,Stefan Persson,$21.3 B,Sweden,H&M,84,73.0,Fashion & Retail
84,Abigail Johnson,$20.9 B,United States,money management,85,59.0,Finance & Investments
85,R. Budi Hartono,$20.5 B,Indonesia,"banking, tobacco",86,80.0,Finance & Investments
86,Andrew Forrest,$20.4 B,Australia,mining,87,59.0,Metals & Mining
87,Ray Dalio,$20.3 B,United States,hedge funds,88,71.0,Finance & Investments
88,Michael Hartono,$19.7 B,Indonesia,"banking, tobacco",89,81.0,Manufacturing
89,Li Shufu,$19.7 B,China,automobiles,89,57.0,Automotive
90,Zhong Huijuan,$19.7 B,China,pharmaceuticals,89,60.0,Healthcare
91,Xu Hang,$19.5 B,Hong Kong,medical devices,92,54.0,Healthcare
92,Lui Che Woo & family,$19.4 B,Hong Kong,casinos/hotels,93,92.0,Gambling & Casinos
93,Emmanuel Besnier,$19.1 B,France,cheese,94,50.0,Food & Beverage
94,Laurene Powell Jobs & family,$19 B,United States,"Apple, Disney",95,57.0,Technology
95,Eric Schmidt,$18.9 B,United States,Google,96,65.0,Technology
96,Sun Piaoyang,$18.9 B,China,pharmaceuticals,96,62.0,Healthcare
97,"Theo Albrecht, Jr. & family",$18.8 B,Germany,"Aldi, Trader Joe's",98,70.0,Fashion & Retail
98,Alisher Usmanov,$18.4 B,Russia,"steel, telecom, investments",99,67.0,Metals & Mining
99,Robert Pera,$18.3 B,United States,wireless networking gear,100,43.0,Technology
100,Wu Yajun,$18.3 B,China,real estate,100,57.0,Real Estate
101,Fan Hongwei & family,$18.2 B,China,petrochemicals,102,54.0,Energy
102,Dhanin Chearavanont,$18.1 B,Thailand,diversified,103,81.0,Diversified
103,Peter Woo,$18 B,Hong Kong,real estate,104,74.0,Real Estate
104,Chen Bang,$17.9 B,China,hospitals,105,55.0,Healthcare
105,Andrey Melnichenko,$17.9 B,Russia,"coal, fertilizers",105,49.0,Energy
106,Dustin Moskovitz,$17.8 B,United States,Facebook,107,36.0,Technology
107,Su Hua,$17.8 B,China,video streaming,107,39.0,Media & Entertainment
108,Donald Newhouse,$17.6 B,United States,media,109,91.0,Media & Entertainment
109,Petr Kellner,$17.5 B,Czechia,"finance, telecommunications",110,56.0,Finance & Investments
110,Lee Man Tat,$17.4 B,Hong Kong,food,111,91.0,Food & Beverage
111,Pavel Durov,$17.2 B,Russia,messaging app,112,36.0,Technology
112,James Ratcliffe,$17 B,United Kingdom,chemicals,113,68.0,Manufacturing
113,Jorge Paulo Lemann & family,$16.9 B,Brazil,beer,114,81.0,Food & Beverage
114,Reinhold Wuerth & family,$16.8 B,Germany,fasteners,115,85.0,Manufacturing
115,Charlene de Carvalho-Heineken & family,$16.7 B,Netherlands,Heineken,116,66.0,Food & Beverage
116,Radhakishan Damani,$16.5 B,India,"retail, investments",117,66.0,Fashion & Retail
117,Wang Chuanfu,$16.3 B,China,"batteries, automobiles",118,55.0,Automotive
118,Steve Cohen,$16 B,United States,hedge funds,119,64.0,Finance & Investments
119,Ken Griffin,$16 B,United States,hedge funds,119,52.0,Finance & Investments
120,Chen Zhiping,$15.9 B,China,e-cigarettes,121,45.0,Manufacturing
121,"Ernest Garcia, II.",$15.9 B,United States,used cars,121,63.0,Automotive
122,Uday Kotak,$15.9 B,India,banking,121,62.0,Finance & Investments
123,Carl Icahn,$15.8 B,United States,investments,124,85.0,Finance & Investments
124,Suleiman Kerimov & family,$15.8 B,Russia,investments,124,55.0,Finance & Investments
125,"Thomas Frist, Jr. & family",$15.7 B,United States,hospitals,126,82.0,Healthcare
126,Lukas Walton,$15.6 B,United States,Walmart,127,34.0,Fashion & Retail
127,Mikhail Fridman,$15.5 B,Russia,"oil, banking, telecom",128,56.0,Energy
128,Wei Jianjun & family,$15.5 B,China,automobiles,128,57.0,Automotive
129,Zuo Hui,$15.5 B,China,real estate services,128,50.0,Real Estate
130,Zhou Qunfei & family,$15.4 B,Hong Kong,smartphone screens,131,51.0,Technology
131,Donald Bren,$15.3 B,United States,real estate,132,88.0,Real Estate
132,Hinduja brothers,$14.9 B,United Kingdom,diversified,133,,Diversified
133,Lakshmi Mittal,$14.9 B,India,steel,133,70.0,Metals & Mining
134,Georg Schaeffler,$14.9 B,Germany,auto parts,133,56.0,Automotive
135,Eric Yuan & family,$14.9 B,United States,video conferencing,133,51.0,Technology
136,Wang Jianlin,$14.8 B,China,real estate,137,66.0,Real Estate
137,Kwong Siu-hing,$14.7 B,Hong Kong,real estate,138,91.0,Real Estate
138,Robin Li,$14.7 B,China,internet search,138,52.0,Technology
139,Pallonji Mistry,$14.6 B,Ireland,construction,140,91.0,Construction & Engineering
140,Eduardo Saverin,$14.6 B,Brazil,Facebook,140,39.0,Technology
141,Roman Abramovich,$14.5 B,Russia,"steel, investments",142,54.0,Diversified
142,David Tepper,$14.5 B,United States,hedge funds,142,63.0,Finance & Investments
143,Gong Hongjia & family,$14.4 B,Hong Kong,video surveillance,144,56.0,Finance & Investments
144,Mike Cannon-Brookes,$14.2 B,Australia,software,145,41.0,Technology
145,"John Menard, Jr.",$14.2 B,United States,home improvement stores,145,81.0,Fashion & Retail
146,Seo Jung-jin,$14.2 B,South Korea,biotech,145,63.0,Healthcare
147,Cheng Yixiao,$14.1 B,China,video streaming app,148,37.0,Media & Entertainment
148,Liang Wengen,$14.1 B,China,construction equipment,148,64.0,Manufacturing
149,Scott Farquhar,$14 B,Australia,software,150,41.0,Technology
150,Finn Rausing,$13.9 B,Sweden,packaging,151,66.0,Food & Beverage
151,Jorn Rausing,$13.9 B,Sweden,packaging,151,61.0,Food & Beverage
152,Kirsten Rausing,$13.9 B,Sweden,packaging,151,68.0,Food & Beverage
153,Brian Chesky,$13.7 B,United States,Airbnb,154,39.0,Technology
154,Joseph Lau,$13.6 B,Hong Kong,real estate,155,69.0,Real Estate
155,David Duffield,$13.5 B,United States,business software,156,80.0,Technology
156,Charoen Sirivadhanabhakdi,$13.5 B,Thailand,"alcohol, real estate",156,76.0,Food & Beverage
157,Kim Jung-ju,$13.3 B,South Korea,online games,158,53.0,Technology
158,Robert & Philip Ng,$13.3 B,Singapore,real estate,158,69.0,Real Estate
159,Zhang Bangxin,$13.3 B,China,education,158,41.0,Service
160,Anders Holch Povlsen,$13.2 B,Denmark,fashion retail,161,48.0,Fashion & Retail
161,Wang Wenyin,$13.2 B,China,"mining, copper products",161,53.0,Metals & Mining
162,Wang Liping & family,$13.1 B,China,hydraulic machinery,163,55.0,Manufacturing
163,Tatyana Bakalchuk,$13 B,Russia,ecommerce,164,45.0,Fashion & Retail
164,Michael Platt,$13 B,United Kingdom,hedge funds,164,53.0,Finance & Investments
165,Huang Shilin,$12.9 B,China,batteries,166,54.0,Energy
166,Ricardo Salinas Pliego & family,$12.9 B,Mexico,"retail, media",166,65.0,Fashion & Retail
167,Kumar Birla,$12.8 B,India,commodities,168,53.0,Diversified
168,Dang Yanbao,$12.7 B,China,coal,169,48.0,Metals & Mining
169,Cyrus Poonawalla,$12.7 B,India,vaccines,169,79.0,Healthcare
170,Robert Kuok,$12.6 B,Malaysia,"palm oil, shipping, property",171,97.0,Diversified
171,Hank & Doug Meijer,$12.6 B,United States,supermarkets,171,66.0,Fashion & Retail
172,Jack Dorsey,$12.5 B,United States,"Twitter, Square",173,44.0,Technology
173,Lu Zhongfang,$12.5 B,China,education,173,78.0,Automotive
174,Ma Jianrong & family,$12.5 B,China,"textiles, apparel",173,57.0,Fashion & Retail
175,Zhang Tao,$12.5 B,China,e-commerce,173,48.0,Fashion & Retail
176,Nathan Blecharczyk,$12.4 B,United States,Airbnb,177,37.0,Technology
177,John Doerr,$12.4 B,United States,venture capital,177,69.0,Technology
178,Joe Gebbia,$12.4 B,United States,Airbnb,177,39.0,Technology
179,Forrest Li,$12.4 B,Singapore,gaming,177,43.0,Media & Entertainment
180,Yu Renrong,$12.3 B,China,semiconductors,181,55.0,Manufacturing
181,Liu Yonghao & family,$12.1 B,China,agribusiness,182,69.0,Service
182,Gordon Moore,$12.1 B,United States,Intel,182,92.0,Technology
183,Jeff Yass,$12 B,United States,"trading, investments",184,62.0,Finance & Investments
184,Bobby Murphy,$11.9 B,United States,Snapchat,185,32.0,Technology
185,Patrick Drahi,$11.8 B,France,telecom,186,57.0,Telecom
186,Jensen Huang,$11.8 B,United States,semiconductors,186,58.0,Technology
187,Alexander Otto,$11.8 B,Germany,real estate,186,53.0,Real Estate
188,Cen Junda,$11.6 B,China,pharmaceuticals,189,56.0,Healthcare
189,Joseph Tsai,$11.6 B,Canada,e-commerce,189,57.0,Technology
190,Aliko Dangote,$11.5 B,Nigeria,"cement, sugar",191,63.0,Manufacturing
191,Marcel Herrmann Telles,$11.5 B,Brazil,beer,191,71.0,Food & Beverage
192,Mikhail Prokhorov,$11.4 B,Russia,investments,193,55.0,Finance & Investments
193,Jorge Moll Filho & family,$11.3 B,Brazil,hospitals,194,76.0,Healthcare
194,Viktor Rashnikov,$11.2 B,Russia,steel,195,72.0,Manufacturing
195,Harry Triguboff,$11.2 B,Australia,real estate,195,88.0,Real Estate
196,Leonid Fedun & family,$11.1 B,Russia,oil,197,65.0,Energy
197,Eyal Ofer,$11.1 B,Israel,"real estate, shipping",197,70.0,Diversified
198,Evan Spiegel,$11.1 B,United States,Snapchat,197,30.0,Technology
199,Luis Carlos Sarmiento,$11 B,Colombia,banking,200,88.0,Finance & Investments
200,Andreas Struengmann & family,$11 B,Germany,pharmaceuticals,200,71.0,Healthcare
201,Thomas Struengmann & family,$11 B,Germany,pharmaceuticals,200,71.0,Healthcare
202,Rodolphe Saadé & family,$10.9 B,France,shipping,203,51.0,Logistics
203,Dilip Shanghvi,$10.9 B,India,pharmaceuticals,203,65.0,Healthcare
204,Tom & Judy Love,$10.8 B,United States,retail & gas stations,205,83.0,Fashion & Retail
205,Anthony Pratt,$10.8 B,Australia,manufacturing,205,60.0,Manufacturing
206,Wang Laisheng,$10.8 B,China,electronics components,205,56.0,Technology
207,Gianluigi & Rafaela Aponte,$10.7 B,Switzerland,Shipping,208,80.0,Logistics
208,Wang Laichun,$10.7 B,China,electronics components,208,53.0,Technology
209,Chen Jianhua,$10.6 B,China,chemicals,210,50.0,Manufacturing
210,Leng Youbin,$10.6 B,China,infant formula,210,52.0,Food & Beverage
211,Charles Schwab,$10.6 B,United States,discount brokerage,210,83.0,Finance & Investments
212,Li Zhenguo & family,$10.5 B,China,solar wafers and modules,213,53.0,Manufacturing
213,Sunil Mittal & family,$10.5 B,India,telecom,213,63.0,Telecom
214,Melker Schorling & family,$10.5 B,Sweden,investments,213,73.0,Finance & Investments
215,Cai Kui,$10.4 B,China,real estate,216,58.0,Real Estate
216,John Fredriksen,$10.4 B,Cyprus,shipping,216,76.0,Logistics
217,Qi Shi & family,$10.4 B,China,financial information,216,51.0,Technology
218,"Chase Coleman, III.",$10.3 B,United States,investments,219,45.0,Finance & Investments
219,Hui Wing Mau,$10.3 B,Hong Kong,real estate,219,70.0,Real Estate
220,"Edward Johnson, III.",$10.3 B,United States,money management,219,90.0,Finance & Investments
221,Liu Hanyuan,$10.3 B,China,agribusiness,219,57.0,Food & Beverage
222,Larry Xiangdong Chen,$10.2 B,China,education,223,49.0,Service
223,Philip Anschutz,$10.1 B,United States,investments,224,81.0,Finance & Investments
224,Dietmar Hopp & family,$10.1 B,Germany,software,224,80.0,Technology
225,German Khan,$10.1 B,Russia,"oil, banking, telecom",224,59.0,Energy
226,Li Ge,$10.1 B,United States,pharmaceutical ingredients,224,54.0,Healthcare
227,Jay Chaudhry,$10 B,United States,security software,228,61.0,Technology
228,Eric Wittouck,$10 B,Belgium,investments,228,74.0,Finance & Investments
229,Carl Cook,$9.9 B,United States,medical devices,230,58.0,Healthcare
230,Jan Koum,$9.9 B,United States,WhatsApp,230,45.0,Technology
231,"Herbert Kohler, Jr. & family",$9.8 B,United States,plumbing fixtures,232,82.0,Manufacturing
232,Tobi Lutke,$9.8 B,Canada,e-commerce,232,40.0,Technology
233,James Dyson,$9.7 B,United Kingdom,vacuums,234,73.0,Manufacturing
234,Mat Ishbia,$9.7 B,United States,★,234,41.0,Finance & Investments
235,Savitri Jindal & family,$9.7 B,India,steel,234,71.0,Metals & Mining
236,Friedhelm Loh,$9.7 B,Germany,manufacturing,234,74.0,Manufacturing
237,Iskander Makhmudov,$9.7 B,Russia,"mining, metals, machinery",234,57.0,Metals & Mining
238,Stefano Pessina,$9.7 B,Italy,drugstores,234,79.0,Fashion & Retail
239,Quek Leng Chan,$9.7 B,Malaysia,"banking, property",234,79.0,Diversified
240,Israel Englander,$9.6 B,United States,hedge funds,241,72.0,Finance & Investments
241,Charles Ergen,$9.6 B,United States,satellite TV,241,68.0,Media & Entertainment
242,Jim Pattison,$9.6 B,Canada,diversified,241,92.0,Diversified
243,Yao Liangsong,$9.6 B,China,furniture,241,56.0,Manufacturing
244,David Geffen,$9.5 B,United States,"movies, record labels",245,78.0,Media & Entertainment
245,Yeung Kin-man,$9.5 B,Hong Kong,electronics,245,57.0,Manufacturing
246,Ding Shizhong & family,$9.4 B,China,sports apparel,247,50.0,Fashion & Retail
247,Harold Hamm & family,$9.4 B,United States,oil & gas,247,75.0,Energy
248,Jim Kennedy,$9.4 B,United States,"media, automotive",247,73.0,Media & Entertainment
249,Blair Parry-Okeden,$9.4 B,United States,"media, automotive",247,70.0,Media & Entertainment
250,Ding Shijia,$9.3 B,China,sports apparel,251,57.0,Fashion & Retail
251,Kim Beom-su,$9.3 B,South Korea,online services,251,55.0,Technology
252,Ian & Richard Livingstone,$9.3 B,United Kingdom,real estate,251,58.0,Real Estate
253,Sun Hongbin,$9.3 B,United States,real estate,251,58.0,Real Estate
254,Alberto Bailleres Gonzalez & family,$9.2 B,Mexico,mining,255,89.0,Metals & Mining
255,Lam Wai-ying,$9.1 B,Hong Kong,smartphone screens,256,,Manufacturing
256,Massimiliana Landini Aleotti & family,$9.1 B,Italy,pharmaceuticals,256,78.0,Healthcare
257,Lu Xiangyang,$9.1 B,China,"automobiles, batteries",256,58.0,Automotive
258,Wolfgang Marguerre & family,$9.1 B,Germany,pharmaceuticals,256,79.0,Healthcare
259,David Sun,$9.1 B,United States,computer hardware,256,69.0,Technology
260,John Tu,$9.1 B,United States,computer hardware,256,79.0,Technology
261,Guillaume Pousaz,$9 B,Switzerland,fintech,262,39.0,Finance & Investments
262,Viktor Vekselberg,$9 B,Russia,"metals, energy",262,63.0,Energy
263,Jerry Jones,$8.9 B,United States,Dallas Cowboys,264,78.0,Sports
264,Michael Otto,$8.9 B,Germany,"retail, real estate",264,77.0,Fashion & Retail
265,Steven Rales,$8.9 B,United States,manufacturing,264,70.0,Manufacturing
266,Sarath Ratanavadi,$8.9 B,Thailand,energy,264,55.0,Energy
267,Tse Ping,$8.9 B,China,pharmaceuticals,264,69.0,Healthcare
268,Chan Tan Ching-fen,$8.8 B,Hong Kong,real estate,269,,Real Estate
269,David Cheriton,$8.8 B,Canada,Google,269,70.0,Technology
270,Xavier Niel,$8.8 B,France,"internet, telecom",269,53.0,Telecom
271,August von Finck,$8.8 B,Germany,investments,269,91.0,Finance & Investments
272,Zong Qinghou,$8.8 B,China,beverages,269,75.0,Food & Beverage
273,Benu Gopal Bangur,$8.7 B,India,cement,274,89.0,Manufacturing
274,Sam Bankman-Fried,$8.7 B,United States,cryptocurrency,274,29.0,Finance & Investments
275,Cheng Xue,$8.7 B,China,soy sauce,274,51.0,Food & Beverage
276,Graeme Hart,$8.7 B,New Zealand,investments,274,65.0,Finance & Investments
277,Kjeld Kirk Kristiansen,$8.7 B,Denmark,Lego,274,73.0,Manufacturing
278,Sofie Kirk Kristiansen,$8.7 B,Denmark,Lego,274,45.0,Manufacturing
279,Thomas Kirk Kristiansen,$8.7 B,Denmark,Lego,274,42.0,Manufacturing
280,Lin Bin,$8.7 B,United States,smartphones,274,53.0,Technology
281,Liu Jincheng & family,$8.7 B,China,lithium batteries,274,56.0,Technology
282,Shigenobu Nagamori,$8.7 B,Japan,motors,274,76.0,Manufacturing
283,Carlos Alberto Sicupira & family,$8.7 B,Brazil,beer,274,73.0,Food & Beverage
284,Agnete Kirk Thinggaard,$8.7 B,Denmark,Lego,274,37.0,Manufacturing
285,Anthony von Mandl,$8.7 B,Canada,alcoholic beverages,274,,Food & Beverage
286,Xu Shihui,$8.7 B,China,"snacks, beverages",274,63.0,Food & Beverage
287,Ernesto Bertarelli,$8.6 B,Switzerland,"biotech, investments",288,55.0,Healthcare
288,Leon Black,$8.6 B,United States,private equity,288,69.0,Finance & Investments
289,Azim Premji,$8.6 B,India,software services,288,75.0,Technology
290,Andrei Skoch & family,$8.6 B,Russia,steel,288,55.0,Metals & Mining
291,George Soros,$8.6 B,United States,hedge funds,288,90.0,Finance & Investments
292,Zheng Shuliang & family,$8.6 B,China,aluminum products,288,75.0,Metals & Mining
293,Marc Benioff,$8.4 B,United States,business software,294,56.0,Technology
294,Kuldip Singh & Gurbachan Singh Dhingra,$8.4 B,India,paints,294,,Manufacturing
295,Ann Walton Kroenke,$8.4 B,United States,Walmart,294,72.0,Fashion & Retail
296,Bubba Cathy,$8.3 B,United States,Chick-fil-A,297,66.0,Food & Beverage
297,Dan Cathy,$8.3 B,United States,Chick-fil-A,297,68.0,Food & Beverage
298,Jay Y. Lee,$8.3 B,South Korea,Samsung,297,52.0,Diversified
299,Pan Dong,$8.3 B,Canada,consumer goods,297,56.0,Fashion & Retail
300,Hasso Plattner & family,$8.3 B,Germany,software,297,77.0,Technology
301,Nassef Sawiris,$8.3 B,Egypt,"construction, investments",297,60.0,Construction & Engineering
302,Kushal Pal Singh,$8.3 B,India,real estate,297,89.0,Real Estate
303,Stanley Kroenke,$8.2 B,United States,"sports, real estate",304,73.0,Sports
304,Niels Peter Louis-Hansen,$8.2 B,Denmark,medical devices,304,73.0,Healthcare
305,Alain Merieux & family,$8.2 B,France,pharmaceuticals,304,83.0,Healthcare
306,Andreas von Bechtolsheim & family,$8.2 B,Germany,Google,304,65.0,Technology
307,Diane Hendricks,$8 B,United States,roofing,308,74.0,Construction & Engineering
308,Shahid Khan,$8 B,United States,auto parts,308,70.0,Automotive
309,Nicky Oppenheimer & family,$8 B,South Africa,diamonds,308,75.0,Metals & Mining
310,Anthony Bamford & family,$7.9 B,United Kingdom,construction equipment,311,75.0,Construction & Engineering
311,Andrew Beal,$7.9 B,United States,"banks, real estate",311,68.0,Finance & Investments
312,Dmitry Bukhman,$7.9 B,Russia,online games,311,35.0,Media & Entertainment
313,Igor Bukhman,$7.9 B,Russia,online games,311,39.0,Media & Entertainment
314,Takahisa Takahara,$7.9 B,Japan,personal care goods,311,59.0,Fashion & Retail
315,Kei Hoi Pang,$7.8 B,China,real estate,316,55.0,Real Estate
316,Alexei Kuzmichev,$7.8 B,Russia,"oil, banking, telecom",316,58.0,Energy
317,John Malone,$7.8 B,United States,cable television,316,80.0,Media & Entertainment
318,Marijke Mars,$7.8 B,United States,"candy, pet food",316,56.0,Food & Beverage
319,Pamela Mars,$7.8 B,United States,"candy, pet food",316,60.0,Food & Beverage
320,Valerie Mars,$7.8 B,United States,"candy, pet food",316,62.0,Food & Beverage
321,Victoria Mars,$7.8 B,United States,"candy, pet food",316,64.0,Food & Beverage
322,Giorgio Armani,$7.7 B,Italy,luxury goods,323,86.0,Fashion & Retail
323,Frederik Paulsen,$7.7 B,Sweden,health care,323,70.0,Healthcare
324,David Reuben,$7.7 B,United Kingdom,"investments, real estate",323,82.0,Real Estate
325,Simon Reuben,$7.7 B,United Kingdom,"real estate, investments",323,79.0,Diversified
326,Alexander Abramov,$7.6 B,Russia,"steel, mining",327,62.0,Metals & Mining
327,Rinat Akhmetov,$7.6 B,Ukraine,"steel, coal",327,54.0,Metals & Mining
328,Silvio Berlusconi & family,$7.6 B,Italy,media,327,84.0,Diversified
329,John Grayken,$7.6 B,Ireland,private equity,327,64.0,Finance & Investments
330,David Green & family,$7.6 B,United States,retail,327,79.0,Fashion & Retail
331,George Roberts,$7.6 B,United States,private equity,327,77.0,Finance & Investments
332,Zhao Yan,$7.6 B,China,biotech,327,54.0,Diversified
333,Nancy Walton Laurie,$7.5 B,United States,Walmart,334,69.0,Fashion & Retail
334,Pei Zhenhua,$7.5 B,China,batteries,334,62.0,Energy
335,Ruan Liping,$7.5 B,Hong Kong,power strips,334,57.0,Manufacturing
336,Ruan Xueping,$7.5 B,Hong Kong,power strip,334,49.0,Manufacturing
337,Patrick Soon-Shiong,$7.5 B,United States,pharmaceuticals,334,68.0,Healthcare
338,Antonia Ax:son Johnson & family,$7.4 B,Sweden,diversified,339,77.0,Diversified
339,"Ernest Garcia, III.",$7.4 B,United States,used cars,339,38.0,Automotive
340,George Lucas,$7.4 B,United States,Star Wars,339,76.0,Media & Entertainment
341,Vicky Safra,$7.4 B,Greece,banking,339,68.0,Finance & Investments
342,Zhang Jindong,$7.4 B,China,appliance retailer,339,58.0,Fashion & Retail
343,Laurent Dassault,$7.3 B,France,diversified,344,67.0,Diversified
344,Thierry Dassault,$7.3 B,France,diversified,344,64.0,Diversified
345,Marie-Hélène Habert,$7.3 B,France,diversified,344,56.0,Diversified
